Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
1311,1.0,18.0,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,F,,2.0,,,,,,,,,,2.0,,,,,,,,
1311,,,,,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1329,6.0,28.0,TSU,,Etna,Italy,Italy,37.734,15.004000000000001,3350,Stratovolcano,Historical,D1,3.0,,,,,,,,,,,,,,,,,,,1.0,,1.0
1329,7.0,,,,Etna,Italy,Italy,37.734,15.004000000000001,3350,Stratovolcano,Historical,D1,1.0,I,,3.0,,,,,,,,,,3.0,,,,,,,,
1331,12.0,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,Historical,D1,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1334,,,,,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1341,5.0,19.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1357,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1362,6.0,5.0,,,Oraefajokull,Iceland-SE,Iceland,64.0,-16.65,2119,Stratovolcano,Historical,D4,5.0,"T,F",220.0,3.0,,,,,,,,,220.0,3.0,,,,,,,,
1375,,,,,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1,5.0,M,,2.0,,,,,,,,,,2.0,,,,,,,,
